what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394143767748
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394143768887
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1394143771414
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1394143780493
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1394143786203
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394143801694
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394143827169
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394143835016
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394143903827
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1394143908312
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1394143910128
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1394143915240
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1394143916655
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394143920163
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394143920822
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394143925260
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394143934633
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1394143961064
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1394143965649
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1394143969782
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1394143977662
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1394143990262
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1394143993292
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394143993942
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394144006913
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394144007494
